"","OBS_YEAR","METHOD","ISLAND","PISCIVORE.Mean","PISCIVORE.SE"
"1",2001,"BLT","Baker",118.2533333, 53.8982589
"2",2002,"BLT","Baker",161.2266667, 43.1030301
"3",2004,"BLT","Baker",130.5150000, 25.0334817
"4",2006,"BLT","Baker",107.4025000, 29.3303095
"5",2008,"BLT","Baker", 33.4400000,  6.3004074
"6",2008,"nSPC","Baker", 65.6750000, 11.3432818
"7",2010,"nSPC","Baker", 74.6590476, 35.5409143
"8",2012,"nSPC","Baker", 87.6341667, 20.9061703
"9",2015,"nSPC","Baker", 57.6702778, 13.4645920
"10",2001,"BLT","Howland", 74.4133333, 16.2502926
"11",2002,"BLT","Howland",134.6780000, 54.2823840
"12",2004,"BLT","Howland",190.8620000, 24.1209099
"13",2006,"BLT","Howland",150.6483333, 41.2540562
"14",2008,"BLT","Howland", 45.0560000, 10.0065197
"15",2008,"nSPC","Howland", 81.0040000, 28.0012514
"16",2010,"nSPC","Howland", 44.1312500,  9.4094921
"17",2012,"nSPC","Howland", 68.5115385, 12.8966258
"18",2015,"nSPC","Howland", 81.4737143, 14.6780928
"19",2001,"BLT","Jarvis", 58.2025000, 36.5382529
"20",2002,"BLT","Jarvis",189.5975000, 24.7571318
"21",2004,"BLT","Jarvis",469.1983333,308.9340064
"22",2006,"BLT","Jarvis",500.8133333,138.7325998
"23",2008,"BLT","Jarvis", 82.8460000, 29.8181040
"24",2008,"nSPC","Jarvis",127.4215789, 26.9572617
"25",2010,"nSPC","Jarvis",191.8916667, 52.0448865
"26",2012,"nSPC","Jarvis",200.8952381, 51.4506815
"27",2015,"nSPC","Jarvis", 80.4606452, 12.0107188
"28",2004,"BLT","Johnston",  5.3908333,  1.4997088
"29",2006,"BLT","Johnston", 23.1011111, 11.6382904
"30",2008,"BLT","Johnston",  1.6800000,  0.5472908
"31",2008,"nSPC","Johnston",  5.9833333,  2.4742762
"32",2010,"nSPC","Johnston", 19.3402564,  6.1601269
"33",2012,"nSPC","Johnston", 12.2088571,  2.2645182
"34",2015,"nSPC","Johnston", 12.2316129,  3.2211458
"35",2001,"BLT","Kingman", 55.2566667, 22.8532434
"36",2002,"BLT","Kingman",511.2866667,144.0276873
"37",2004,"BLT","Kingman", 79.3911111, 22.8953696
"38",2006,"BLT","Kingman",177.9661538, 66.9498330
"39",2008,"BLT","Kingman", 89.9886957, 33.2514652
"40",2008,"nSPC","Kingman", 84.9526087, 22.1340687
"41",2010,"nSPC","Kingman",136.4142424, 28.7711649
"42",2012,"nSPC","Kingman",168.1567347, 21.9330273
"43",2015,"nSPC","Kingman",115.6173469, 13.3970946
"44",2001,"BLT","Palmyra", 83.9960000, 33.2010453
"45",2002,"BLT","Palmyra",302.4230000, 80.2918639
"46",2004,"BLT","Palmyra",196.1720000, 61.5339688
"47",2006,"BLT","Palmyra", 92.7400000, 33.0984975
"48",2008,"BLT","Palmyra", 29.0935714,  9.9927704
"49",2008,"nSPC","Palmyra", 53.9675000, 15.8332831
"50",2010,"nSPC","Palmyra", 94.5872500, 19.4703930
"51",2012,"nSPC","Palmyra", 89.6723810, 13.1597278
"52",2015,"nSPC","Palmyra", 60.0220513,  8.7862858
"53",2005,"BLT","Wake", 44.9207692, 25.0195353
"54",2007,"BLT","Wake", 20.6641667,  5.6789249
"55",2009,"BLT","Wake",  7.0584615,  1.6157870
"56",2009,"nSPC","Wake", 10.0475862,  2.3204076
"57",2011,"nSPC","Wake",  7.9620000,  1.0541809
"58",2014,"nSPC","Wake", 17.9411111,  5.3870930
