"","OBS_YEAR","METHOD","ISLAND","SECONDARY.Mean","SECONDARY.SE"
"1",2001,"BLT","Baker",42.9266667,11.2386795
"2",2002,"BLT","Baker",34.4616667,13.8870485
"3",2004,"BLT","Baker",62.1116667,22.7796508
"4",2006,"BLT","Baker",35.8275000, 6.0571288
"5",2008,"BLT","Baker",38.3125000,20.1144713
"6",2008,"nSPC","Baker",26.7400000,13.1037482
"7",2010,"nSPC","Baker", 9.8257143, 1.9842651
"8",2012,"nSPC","Baker",11.7854167, 0.9053220
"9",2015,"nSPC","Baker",21.7694444, 6.2905176
"10",2001,"BLT","Howland",17.4733333, 2.8055251
"11",2002,"BLT","Howland",31.2760000, 6.4943742
"12",2004,"BLT","Howland",40.9240000,11.0047179
"13",2006,"BLT","Howland",16.7116667, 2.6590768
"14",2008,"BLT","Howland",15.0430000, 3.7592387
"15",2008,"nSPC","Howland",11.7020000, 1.4856714
"16",2010,"nSPC","Howland",11.9812500, 2.4969640
"17",2012,"nSPC","Howland",18.0758974, 3.0355526
"18",2015,"nSPC","Howland",16.0105714, 2.1815362
"19",2001,"BLT","Jarvis",16.3900000, 1.8931587
"20",2002,"BLT","Jarvis",71.1400000,20.7191799
"21",2004,"BLT","Jarvis",43.1233333,10.0005005
"22",2006,"BLT","Jarvis",30.9155556, 2.6170664
"23",2008,"BLT","Jarvis",15.0760000, 1.8955972
"24",2008,"nSPC","Jarvis",14.5621053, 1.9353913
"25",2010,"nSPC","Jarvis",15.9406667, 1.8311449
"26",2012,"nSPC","Jarvis",24.3945238, 4.5628481
"27",2015,"nSPC","Jarvis",14.7654839, 1.1876262
"28",2004,"BLT","Johnston",16.7641667, 3.4062208
"29",2006,"BLT","Johnston",12.3733333, 1.6801181
"30",2008,"BLT","Johnston",12.0075000, 2.7947307
"31",2008,"nSPC","Johnston", 9.1950000, 1.4556887
"32",2010,"nSPC","Johnston", 3.3969231, 0.3359851
"33",2012,"nSPC","Johnston", 6.5700000, 1.2211300
"34",2015,"nSPC","Johnston", 7.3351613, 1.5049150
"35",2001,"BLT","Kingman", 9.2377778, 2.3870535
"36",2002,"BLT","Kingman",20.3188889, 5.2509741
"37",2004,"BLT","Kingman",12.5600000, 3.1653932
"38",2006,"BLT","Kingman",10.2784615, 3.2124723
"39",2008,"BLT","Kingman", 6.2634783, 1.5479569
"40",2008,"nSPC","Kingman", 5.6256522, 1.2911838
"41",2010,"nSPC","Kingman",10.5272727, 1.6612588
"42",2012,"nSPC","Kingman",15.6251020, 1.9147859
"43",2015,"nSPC","Kingman", 8.3163265, 0.5577688
"44",2001,"BLT","Palmyra",21.3220000, 7.9757986
"45",2002,"BLT","Palmyra",59.4870000,30.2227017
"46",2004,"BLT","Palmyra",31.0090000, 8.9076073
"47",2006,"BLT","Palmyra",13.1038462, 3.2277827
"48",2008,"BLT","Palmyra", 7.5321429, 0.8123624
"49",2008,"nSPC","Palmyra",11.3550000, 2.2213407
"50",2010,"nSPC","Palmyra",15.8552500, 2.9567087
"51",2012,"nSPC","Palmyra",38.2171429, 9.0310107
"52",2015,"nSPC","Palmyra",17.5471795, 3.9677701
"53",2005,"BLT","Wake",40.1730769,18.1204914
"54",2007,"BLT","Wake",52.8433333,26.8706462
"55",2009,"BLT","Wake",91.2553846,51.1895005
"56",2009,"nSPC","Wake",77.5268966,60.7745209
"57",2011,"nSPC","Wake",17.9700000, 7.3657138
"58",2014,"nSPC","Wake", 7.8546667, 1.1468204
