"","OBS_YEAR","METHOD","ISLAND","TotFish.Mean","TotFish.SE"
"1",2001,"BLT","Baker",259.740000, 69.526389
"2",2002,"BLT","Baker",224.233333, 41.823855
"3",2004,"BLT","Baker",346.191667, 44.057270
"4",2006,"BLT","Baker",251.215000, 37.945828
"5",2008,"BLT","Baker",164.017500, 37.411561
"6",2008,"nSPC","Baker",181.905000, 39.127790
"7",2010,"nSPC","Baker",123.670952, 39.370304
"8",2012,"nSPC","Baker",156.720000, 26.428254
"9",2015,"nSPC","Baker",241.215833, 74.168770
"10",2001,"BLT","Howland",133.530000, 23.186706
"11",2002,"BLT","Howland",216.034000, 59.239836
"12",2004,"BLT","Howland",365.514000, 32.506676
"13",2006,"BLT","Howland",231.250000, 51.395692
"14",2008,"BLT","Howland",372.658000,216.509135
"15",2008,"nSPC","Howland",370.713000,197.369932
"16",2010,"nSPC","Howland",111.418750, 21.140752
"17",2012,"nSPC","Howland",221.447179, 56.006840
"18",2015,"nSPC","Howland",389.554286,149.673738
"19",2001,"BLT","Jarvis",100.360000, 32.385110
"20",2002,"BLT","Jarvis",351.425000, 34.763125
"21",2004,"BLT","Jarvis",685.728333,299.587254
"22",2006,"BLT","Jarvis",749.043333,219.967349
"23",2008,"BLT","Jarvis",227.485500, 46.722861
"24",2008,"nSPC","Jarvis",225.541053, 42.278474
"25",2010,"nSPC","Jarvis",263.362000, 55.029469
"26",2012,"nSPC","Jarvis",361.812619, 65.409514
"27",2015,"nSPC","Jarvis",237.943710, 49.277008
"28",2004,"BLT","Johnston", 88.537500,  7.406017
"29",2006,"BLT","Johnston", 92.445000, 16.132112
"30",2008,"BLT","Johnston", 41.050833,  4.936936
"31",2008,"nSPC","Johnston", 33.915833,  3.980468
"32",2010,"nSPC","Johnston", 42.443846,  7.667592
"33",2012,"nSPC","Johnston", 44.776857,  6.110856
"34",2015,"nSPC","Johnston", 97.819355, 34.601990
"35",2001,"BLT","Kingman",328.195556,270.668389
"36",2002,"BLT","Kingman",570.282222,155.168297
"37",2004,"BLT","Kingman",155.246667, 48.018072
"38",2006,"BLT","Kingman",312.778462, 81.965040
"39",2008,"BLT","Kingman",128.213478, 35.568807
"40",2008,"nSPC","Kingman",133.195217, 30.343139
"41",2010,"nSPC","Kingman",218.031212, 36.981634
"42",2012,"nSPC","Kingman",251.118980, 33.177266
"43",2015,"nSPC","Kingman",176.663469, 19.899003
"44",2001,"BLT","Palmyra",120.292000, 28.945442
"45",2002,"BLT","Palmyra",462.041000,113.690030
"46",2004,"BLT","Palmyra",327.501000, 65.028269
"47",2006,"BLT","Palmyra",162.059231, 36.489536
"48",2008,"BLT","Palmyra", 74.197143, 14.028432
"49",2008,"nSPC","Palmyra",345.563214,257.856568
"50",2010,"nSPC","Palmyra",232.450500, 58.676839
"51",2012,"nSPC","Palmyra",273.446905, 59.758972
"52",2015,"nSPC","Palmyra",106.343205, 11.848443
"53",2005,"BLT","Wake",220.912308, 66.413888
"54",2007,"BLT","Wake",142.265833, 30.669722
"55",2009,"BLT","Wake",131.003077, 50.228761
"56",2009,"nSPC","Wake",111.466897, 61.448407
"57",2011,"nSPC","Wake", 58.994667,  8.106210
"58",2014,"nSPC","Wake", 59.520222,  8.692515
